Cluster ID,Sequence ID,,,
0,MW079419.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Malta,,,
0,MW079421.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Malta,,,
0,MW634052.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW751087.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Kenya,,,
0,MW035461.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW227482.1:21558..25379 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Bahrain,,,
0,MW540076.1:21553..25374 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW332233.1:21533..25354 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Russia,,,
0,MW365272.1:21499..25320 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Chile,,,
0,MW365003.1:21501..25322 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Chile,,,
0,MW708830.1:21560..25381 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MT428553.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Kazakhstan,,,
0,MW521789.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW655536.1:21559..25380 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Bahrain,,,
0,MW485796.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Serbia,,,
0,MW741552.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Russia,,,
0,MT324062.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |South Africa,,,
0,MW548327.1:21553..25374 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW485806.1:21538..25359 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Italy,,,
0,MW633895.1:21499..25320 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Argentina,,,
0,MW400961.1:21533..25354 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Pakistan,,,
0,MW320689.1:21531..25352 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Turkey,,,
0,MW390858.1:21559..25380 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MT371049.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Sri Lanka,,,
0,MW002807.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW181758.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Hong Kong,,,
0,MW655537.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Bahrain,,,
0,MW206409.1:21561..25382 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW332553.1:21550..25371 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Bahrain,,,
0,MW739632.1:21523..25344 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW672138.1:21508..25329 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Chile,,,
0,MW447641.1:21555..25376 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Pakistan,,,
0,MW495905.1:21518..25339 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW521686.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MT653082.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Benin,,,
0,MT320538.2:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |France,,,
0,MT510690.1:21503..25324 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
0,MT292569.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Spain,,,
0,MW751103.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Kenya,,,
0,MW751344.1:21221..25042 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Kenya,,,
0,MT276323.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW010028.1:21534..25355 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
0,MW634446.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW577029.1:21543..25364 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Netherlands,,,
0,MT953878.1:21538..25359 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Spain,,,
0,MW452536.1:21535..25356 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Tunisia,,,
0,MT627394.1:21539..25360 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
0,MW030266.1:21388..25209 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
0,MW030261.1:21388..25209 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
0,MW030279.1:21388..25209 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
0,MW474332.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW773122.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MT326048.1:21532..25353 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW781832.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW288257.1:21526..25347 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW633906.1:21502..25323 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Argentina,,,
0,MW674843.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Israel,,,
0,MT396266.1:21553..25374 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Netherlands,,,
0,MW356784.1:21560..25381 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Taiwan,,,
0,MW553316.1:21508..25329 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Argentina,,,
0,MT981434.1:21524..25345 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW342092.1:21544..25365 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Bahrain,,,
0,MT827190.1:21538..25359 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Brazil,,,
0,MT641722.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Australia,,,
0,MW495914.1:21524..25345 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
0,MW250352.1:21523..25344 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
1,MT641765.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Australia,,,
1,MW365208.1:21499..25320 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Chile,,,
1,MW449397.1:21526..25347 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW521562.1:21557..25378 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW493960.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW776831.1:21559..25380 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW634778.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW645555.1:21524..25345 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW702724.1:21532..25353 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW467497.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
1,MW491120.1:21523..25344 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MT020781.2:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Finland,,, 
1,MT263414.1:21490..25311 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW181737.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Hong Kong,,,
1,MW340790.1:21540..25361 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Italy,,,
1,MN938384.1:21531..25352 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |China,,,
1,MT049951.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |China,,,
1,MT810119.1:21554..25375 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |South Korea,,,
1,MW294011.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Ecuador,,,
