Cluster ID,Sequence ID,,,
1,MT906649.1:21556..25377 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 | United Kingdom,Variant Sequence,,
1,MW504614.1:21529..25350 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
1,MW751082.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Kenya,,,
1,MT972119.1:21524..25345 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Australia,,,
1,MW512847.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Iraq,,,
1,MT919527.1:21533..25354 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Denmark,,,
1,MW591206.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW181514.1:21530..25351 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW738616.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW545456.1:21551..25372 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW485931.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Serbia,,,
1,MW030238.1:21388..25209 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
1,MW030240.1:21388..25209 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
1,MW030255.1:21388..25209 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
1,MW452531.1:21533..25354 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Tunisia,,,
1,MW422122.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Pakistan,,,
1,MW653503.1:21559..25380 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW524953.1:21559..25380 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW648153.1:21519..25340 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MT955174.1:21533..25354 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Tunisia,,,
1,MW031090.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW547487.1:21529..25350 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
1,MT658509.1:21529..25350 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
1,MW298639.1:21517..25338 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Uruguay,,,
1,MW634250.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MT947153.1:21534..25355 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Egypt,,,
1,MW634560.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW181752.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Hong Kong,,,
1,MW485255.1:21523..25344 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW717676.1:21563..25384 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Finland,,,
1,MW332229.1:21533..25354 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Russia,,,
1,MT892966.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW673582.1:21552..25373 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MT263074.1:21554..25375 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |Peru,,,
1,MW493674.1:21555..25376 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW703390.1:21531..25352 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW173170.1:21552..25373 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW566478.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW634807.1:21509..25330 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
1,MW721120.1:21525..25346 |surface glycoprotein Severe acute respiratory syndrome coronavirus 2 |USA,,,
